Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT0,DFU,SW_SPST_TL3342,11.27,56.14,180.0,bottom
C1,1uF,C_0402_1005Metric,5.2,39.467,270.0,bottom
C2,1uF,C_0402_1005Metric,10.2,37.217,90.0,bottom
C3,100nF,C_0402_1005Metric,12.28,35.77,180.0,bottom
C4,100nF,C_0402_1005Metric,9.47,44.42,270.0,bottom
C5,100nF,C_0402_1005Metric,18.12,47.23,0.0,bottom
C6,100nF,C_0402_1005Metric,20.93,40.1,90.0,bottom
C7,100nF,C_0402_1005Metric,19.88,46.25,180.0,bottom
C8,10uF,C_0603_1608Metric,20.57,47.5,180.0,bottom
C9,100nF,C_0402_1005Metric,22.4,40.55,0.0,bottom
C_Shield1,4.7n,C_0402_1005Metric,0.48,45.75,90.0,bottom
D1,1N4148W,D_SOD-123,3.18,0.45,90.0,bottom
D2,1N4148W,D_SOD-123,14.82,-0.45,270.0,bottom
D3,1N4148W,D_SOD-123,32.82,-0.45,270.0,bottom
D4,1N4148W,D_SOD-123,62.07,-0.45,270.0,bottom
D5,1N4148W,D_SOD-123,100.32,-0.45,270.0,bottom
D6,1N4148W,D_SOD-123,127.32,-0.45,270.0,bottom
D7,1N4148W,D_SOD-123,145.32,-0.45,270.0,bottom
D8,1N4148W,D_SOD-123,163.32,-0.45,270.0,bottom
D9,1N4148W,D_SOD-123,3.57,16.55,270.0,bottom
D10,1N4148W,D_SOD-123,28.32,16.55,270.0,bottom
D11,1N4148W,D_SOD-123,46.32,16.55,270.0,bottom
D12,1N4148W,D_SOD-123,64.32,16.55,270.0,bottom
D13,1N4148W,D_SOD-123,82.32,16.55,270.0,bottom
D14,1N4148W,D_SOD-123,100.32,16.55,270.0,bottom
D15,1N4148W,D_SOD-123,118.32,16.55,270.0,bottom
D16,1N4148W,D_SOD-123,136.32,16.55,270.0,bottom
D17,1N4148W,D_SOD-123,158.82,16.55,270.0,bottom
D18,1N4148W,D_SOD-123,-0.93,33.55,270.0,bottom
D19,1N4148W,D_SOD-123,19.32,33.55,270.0,bottom
D20,1N4148W,D_SOD-123,37.32,33.55,270.0,bottom
D21,1N4148W,D_SOD-123,55.32,33.55,270.0,bottom
D22,1N4148W,D_SOD-123,73.32,33.55,270.0,bottom
D23,1N4148W,D_SOD-123,91.32,33.55,270.0,bottom
D24,1N4148W,D_SOD-123,109.32,33.55,270.0,bottom
D25,1N4148W,D_SOD-123,127.32,33.55,270.0,bottom
D26,1N4148W,D_SOD-123,145.32,33.55,270.0,bottom
D27,1N4148W,D_SOD-123,163.32,33.55,270.0,bottom
D28,1N4148W,D_SOD-123,3.18,51.45,90.0,bottom
D29,1N4148W,D_SOD-123,21.18,51.45,90.0,bottom
D30,1N4148W,D_SOD-123,32.82,50.55,270.0,bottom
D31,1N4148W,D_SOD-123,50.82,50.55,270.0,bottom
D32,1N4148W,D_SOD-123,68.82,50.55,270.0,bottom
D33,1N4148W,D_SOD-123,86.82,50.55,270.0,bottom
D34,1N4148W,D_SOD-123,104.82,50.55,270.0,bottom
D35,1N4148W,D_SOD-123,122.82,50.55,270.0,bottom
D36,1N4148W,D_SOD-123,140.82,50.55,270.0,bottom
D37,1N4148W,D_SOD-123,161.07,50.55,270.0,bottom
F1,500mA,Fuse_1206_3216Metric,2.35,38.967,180.0,bottom
H1,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,-5.8,56.3,180.0,bottom
H2,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,172.3,56.3,180.0,bottom
H3,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,-5.8,-5.3,180.0,bottom
H4,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,172.3,-5.3,180.0,bottom
H5,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,49.5,25.5,180.0,bottom
H6,MountingHole,MountingHole_M2_Pad_NonPTH_TopOnly,121.5,25.5,180.0,bottom
J1,USB_C,Molex-216990_GCT-USB45xx_HRO-TYPE-C-31-M-13x,-9.8,42.5,90.0,bottom
R1,5.1k,R_0402_1005Metric,1.0,40.9,180.0,bottom
R2,5.1k,R_0402_1005Metric,1.0,44.1,180.0,bottom
R3,27R,R_0603_1608Metric,7.0,43.5,180.0,bottom
R4,27R,R_0603_1608Metric,7.0,41.5,180.0,bottom
R5,10k,R_0402_1005Metric,16.2,47.23,180.0,bottom
R_Shield1,1M,R_0402_1005Metric,1.48,45.75,270.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,15.2,41.5,270.0,bottom
U2,SRV05-4,SOT-23-6-routable,3.7,42.5,90.0,bottom
U3,XC6206,SOT-23,7.7,38.967,180.0,bottom
